NASAParticipantId,NASA_Condition,NASA_Placement,NASA_LabelType,MentalDemand,TemporalDemand,PhysicalDemand,Performance,Effort,FrustrationLevel
1.0,CCTEx,Concurrent,Explicit,1.0,0.0,0.0,19.0,1.0,1.0
1.0,CCTIm,Concurrent,Implicit,11.0,2.0,9.0,12.0,9.0,9.0
1.0,CCTM,Concurrent,Mix,8.0,0.0,6.0,14.0,5.0,4.0
1.0,PEEx,PostExposure,Explicit,9.0,0.0,6.0,15.0,9.0,8.0
1.0,PEIm,PostExposure,Implicit,5.0,0.0,3.0,19.0,3.0,4.0
1.0,PEM,PostExposure,Mix,7.0,0.0,7.0,19.0,4.0,3.0
1.0,Control,Control,Control,11.0,0.0,6.0,17.0,8.0,7.0
10.0,CCTM,Concurrent,Mix,12.0,7.0,4.0,6.0,6.0,0.0
10.0,PEEx,PostExposure,Explicit,11.0,5.0,7.0,16.0,4.0,5.0
10.0,PEIm,PostExposure,Implicit,7.0,8.0,5.0,13.0,6.0,3.0
10.0,PEM,PostExposure,Mix,16.0,12.0,13.0,7.0,14.0,16.0
10.0,Control,Control,Control,15.0,6.0,4.0,14.0,12.0,7.0
10.0,CCTEx,Concurrent,Explicit,11.0,6.0,7.0,14.0,7.0,7.0
10.0,CCTIm,Concurrent,Implicit,12.0,8.0,12.0,7.0,13.0,15.0
11.0,PEEx,PostExposure,Explicit,14.0,1.0,1.0,17.0,7.0,0.0
11.0,PEIm,PostExposure,Implicit,15.0,2.0,0.0,6.0,5.0,0.0
11.0,PEM,PostExposure,Mix,15.0,0.0,4.0,14.0,6.0,4.0
11.0,Control,Control,Control,13.0,0.0,6.0,5.0,2.0,0.0
11.0,CCTEx,Concurrent,Explicit,14.0,0.0,0.0,3.0,2.0,0.0
11.0,CCTIm,Concurrent,Implicit,15.0,0.0,0.0,14.0,3.0,0.0
11.0,CCTM,Concurrent,Mix,13.0,0.0,0.0,7.0,7.0,0.0
12.0,PEIm,PostExposure,Implicit,4.0,1.0,2.0,14.0,5.0,12.0
12.0,PEM,PostExposure,Mix,7.0,1.0,5.0,11.0,4.0,10.0
12.0,Control,Control,Control,5.0,1.0,5.0,5.0,4.0,8.0
12.0,CCTEx,Concurrent,Explicit,5.0,1.0,4.0,7.0,3.0,6.0
12.0,CCTIm,Concurrent,Implicit,5.0,1.0,5.0,3.0,3.0,5.0
12.0,CCTM,Concurrent,Mix,5.0,1.0,4.0,6.0,3.0,3.0
12.0,PEEx,PostExposure,Explicit,8.0,2.0,3.0,10.0,5.0,6.0
13.0,PEM,PostExposure,Mix,13.0,4.0,0.0,13.0,12.0,12.0
13.0,Control,Control,Control,13.0,0.0,0.0,15.0,6.0,6.0
13.0,CCTEx,Concurrent,Explicit,7.0,4.0,0.0,14.0,8.0,8.0
13.0,CCTIm,Concurrent,Implicit,15.0,11.0,0.0,14.0,13.0,13.0
13.0,CCTM,Concurrent,Mix,13.0,6.0,0.0,12.0,12.0,12.0
13.0,PEEx,PostExposure,Explicit,13.0,5.0,0.0,8.0,9.0,12.0
13.0,PEIm,PostExposure,Implicit,14.0,4.0,0.0,12.0,13.0,13.0
14.0,Control,Control,Control,17.0,5.0,1.0,6.0,12.0,2.0
14.0,CCTEx,Concurrent,Explicit,15.0,1.0,1.0,3.0,3.0,3.0
14.0,CCTIm,Concurrent,Implicit,2.0,1.0,1.0,1.0,1.0,1.0
14.0,CCTM,Concurrent,Mix,12.0,3.0,1.0,6.0,8.0,3.0
14.0,PEEx,PostExposure,Explicit,15.0,2.0,1.0,3.0,5.0,5.0
14.0,PEIm,PostExposure,Implicit,3.0,1.0,1.0,3.0,2.0,2.0
14.0,PEM,PostExposure,Mix,2.0,1.0,1.0,2.0,2.0,1.0
15.0,CCTEx,Concurrent,Explicit,15.0,4.0,1.0,8.0,12.0,7.0
15.0,CCTIm,Concurrent,Implicit,16.0,8.0,12.0,14.0,12.0,5.0
15.0,CCTM,Concurrent,Mix,17.0,2.0,3.0,8.0,13.0,12.0
15.0,PEEx,PostExposure,Explicit,9.0,1.0,2.0,17.0,1.0,7.0
15.0,PEIm,PostExposure,Implicit,14.0,4.0,5.0,12.0,14.0,11.0
15.0,PEM,PostExposure,Mix,14.0,3.0,2.0,8.0,16.0,12.0
15.0,Control,Control,Control,11.0,1.0,1.0,12.0,6.0,7.0
16.0,CCTIm,Concurrent,Implicit,8.0,6.0,0.0,12.0,15.0,13.0
16.0,CCTM,Concurrent,Mix,3.0,2.0,0.0,16.0,2.0,2.0
16.0,PEEx,PostExposure,Explicit,15.0,5.0,0.0,16.0,15.0,13.0
16.0,PEIm,PostExposure,Implicit,14.0,2.0,0.0,4.0,5.0,2.0
16.0,PEM,PostExposure,Mix,3.0,0.0,0.0,2.0,3.0,1.0
16.0,Control,Control,Control,4.0,2.0,0.0,6.0,8.0,3.0
16.0,CCTEx,Concurrent,Explicit,1.0,0.0,0.0,1.0,1.0,0.0
17.0,CCTM,Concurrent,Mix,14.0,8.0,13.0,15.0,12.0,15.0
17.0,PEEx,PostExposure,Explicit,15.0,11.0,14.0,12.0,15.0,13.0
17.0,PEIm,PostExposure,Implicit,14.0,12.0,16.0,14.0,13.0,7.0
17.0,PEM,PostExposure,Mix,14.0,9.0,13.0,12.0,11.0,14.0
17.0,Control,Control,Control,14.0,11.0,13.0,15.0,12.0,7.0
17.0,CCTEx,Concurrent,Explicit,14.0,8.0,13.0,6.0,12.0,5.0
17.0,CCTIm,Concurrent,Implicit,13.0,4.0,15.0,12.0,13.0,7.0
18.0,PEEx,PostExposure,Explicit,15.0,4.0,2.0,8.0,11.0,12.0
18.0,PEIm,PostExposure,Implicit,7.0,4.0,5.0,15.0,7.0,5.0
18.0,PEM,PostExposure,Mix,17.0,12.0,10.0,13.0,13.0,12.0
18.0,Control,Control,Control,12.0,7.0,8.0,12.0,13.0,13.0
18.0,CCTEx,Concurrent,Explicit,5.0,2.0,8.0,15.0,7.0,7.0
18.0,CCTIm,Concurrent,Implicit,13.0,8.0,9.0,12.0,13.0,11.0
18.0,CCTM,Concurrent,Mix,13.0,7.0,7.0,10.0,11.0,10.0
19.0,PEIm,PostExposure,Implicit,17.0,5.0,1.0,10.0,2.0,3.0
19.0,PEM,PostExposure,Mix,18.0,2.0,1.0,16.0,2.0,3.0
19.0,Control,Control,Control,18.0,2.0,1.0,15.0,1.0,5.0
19.0,CCTEx,Concurrent,Explicit,16.0,2.0,1.0,16.0,2.0,3.0
19.0,CCTIm,Concurrent,Implicit,16.0,2.0,1.0,15.0,1.0,3.0
19.0,CCTM,Concurrent,Mix,18.0,2.0,1.0,15.0,2.0,2.0
19.0,PEEx,PostExposure,Explicit,17.0,1.0,1.0,18.0,2.0,2.0
2.0,CCTIm,Concurrent,Implicit,13.0,16.0,2.0,10.0,14.0,13.0
2.0,CCTM,Concurrent,Mix,13.0,13.0,2.0,5.0,13.0,14.0
2.0,PEEx,PostExposure,Explicit,12.0,10.0,2.0,10.0,13.0,12.0
2.0,PEIm,PostExposure,Implicit,12.0,10.0,2.0,8.0,12.0,14.0
2.0,PEM,PostExposure,Mix,13.0,10.0,2.0,6.0,14.0,15.0
2.0,Control,Control,Control,10.0,8.0,2.0,10.0,12.0,13.0
2.0,CCTEx,Concurrent,Explicit,10.0,8.0,2.0,12.0,12.0,12.0
20.0,PEM,PostExposure,Mix,18.0,5.0,8.0,9.0,12.0,4.0
20.0,Control,Control,Control,16.0,8.0,12.0,12.0,16.0,6.0
20.0,CCTEx,Concurrent,Explicit,12.0,6.0,13.0,15.0,13.0,6.0
20.0,CCTIm,Concurrent,Implicit,18.0,13.0,12.0,8.0,18.0,7.0
20.0,CCTM,Concurrent,Mix,14.0,8.0,13.0,11.0,9.0,6.0
20.0,PEEx,PostExposure,Explicit,14.0,8.0,13.0,12.0,10.0,7.0
20.0,PEIm,PostExposure,Implicit,15.0,8.0,13.0,8.0,15.0,7.0
21.0,Control,Control,Control,19.0,12.0,2.0,14.0,16.0,11.0
21.0,CCTEx,Concurrent,Explicit,16.0,2.0,12.0,11.0,12.0,1.0
21.0,CCTIm,Concurrent,Implicit,15.0,1.0,12.0,13.0,12.0,2.0
21.0,CCTM,Concurrent,Mix,16.0,1.0,1.0,1.0,8.0,0.0
21.0,PEEx,PostExposure,Explicit,17.0,0.0,1.0,16.0,5.0,0.0
21.0,PEIm,PostExposure,Implicit,18.0,0.0,1.0,16.0,5.0,1.0
21.0,PEM,PostExposure,Mix,18.0,1.0,1.0,4.0,2.0,1.0
22.0,CCTEx,Concurrent,Explicit,8.0,8.0,2.0,15.0,5.0,0.0
22.0,CCTIm,Concurrent,Implicit,10.0,4.0,2.0,18.0,6.0,0.0
22.0,CCTM,Concurrent,Mix,12.0,6.0,2.0,15.0,12.0,0.0
22.0,PEEx,PostExposure,Explicit,14.0,8.0,2.0,12.0,14.0,0.0
22.0,PEIm,PostExposure,Implicit,14.0,8.0,2.0,14.0,14.0,0.0
22.0,PEM,PostExposure,Mix,14.0,8.0,2.0,12.0,10.0,0.0
22.0,Control,Control,Control,8.0,6.0,2.0,16.0,6.0,0.0
23.0,CCTIm,Concurrent,Implicit,17.0,1.0,0.0,6.0,1.0,1.0
23.0,CCTM,Concurrent,Mix,15.0,1.0,0.0,16.0,15.0,5.0
23.0,PEEx,PostExposure,Explicit,5.0,1.0,0.0,7.0,7.0,3.0
23.0,PEIm,PostExposure,Implicit,7.0,1.0,0.0,13.0,15.0,13.0
23.0,PEM,PostExposure,Mix,13.0,1.0,0.0,9.0,15.0,10.0
23.0,Control,Control,Control,5.0,0.0,0.0,18.0,5.0,5.0
23.0,CCTEx,Concurrent,Explicit,13.0,1.0,0.0,15.0,12.0,7.0
24.0,CCTM,Concurrent,Mix,15.0,5.0,1.0,7.0,12.0,6.0
24.0,PEEx,PostExposure,Explicit,13.0,5.0,2.0,14.0,12.0,3.0
24.0,PEIm,PostExposure,Implicit,13.0,2.0,1.0,15.0,8.0,8.0
24.0,PEM,PostExposure,Mix,13.0,5.0,1.0,16.0,6.0,3.0
24.0,Control,Control,Control,12.0,5.0,2.0,15.0,6.0,3.0
24.0,CCTEx,Concurrent,Explicit,13.0,6.0,1.0,14.0,9.0,6.0
24.0,CCTIm,Concurrent,Implicit,13.0,4.0,7.0,15.0,4.0,4.0
25.0,PEEx,PostExposure,Explicit,12.0,1.0,0.0,7.0,1.0,0.0
25.0,PEIm,PostExposure,Implicit,15.0,2.0,0.0,5.0,3.0,0.0
25.0,PEM,PostExposure,Mix,10.0,2.0,0.0,5.0,1.0,0.0
25.0,Control,Control,Control,8.0,0.0,0.0,10.0,0.0,0.0
25.0,CCTEx,Concurrent,Explicit,7.0,0.0,0.0,13.0,0.0,0.0
25.0,CCTIm,Concurrent,Implicit,9.0,1.0,0.0,12.0,1.0,0.0
25.0,CCTM,Concurrent,Mix,7.0,0.0,0.0,15.0,1.0,0.0
26.0,PEIm,PostExposure,Implicit,8.0,7.0,4.0,10.0,8.0,5.0
26.0,PEM,PostExposure,Mix,7.0,5.0,5.0,10.0,8.0,8.0
26.0,Control,Control,Control,6.0,5.0,5.0,10.0,8.0,5.0
26.0,CCTEx,Concurrent,Explicit,5.0,5.0,5.0,10.0,8.0,6.0
26.0,CCTIm,Concurrent,Implicit,5.0,5.0,7.0,8.0,5.0,5.0
26.0,CCTM,Concurrent,Mix,5.0,5.0,7.0,10.0,5.0,5.0
26.0,PEEx,PostExposure,Explicit,6.0,5.0,5.0,7.0,7.0,2.0
27.0,PEM,PostExposure,Mix,15.0,3.0,3.0,15.0,3.0,2.0
27.0,Control,Control,Control,8.0,3.0,3.0,18.0,2.0,2.0
27.0,CCTEx,Concurrent,Explicit,15.0,9.0,3.0,12.0,12.0,6.0
27.0,CCTIm,Concurrent,Implicit,15.0,7.0,4.0,12.0,9.0,7.0
27.0,CCTM,Concurrent,Mix,13.0,6.0,3.0,15.0,7.0,5.0
27.0,PEEx,PostExposure,Explicit,17.0,6.0,2.0,16.0,12.0,4.0
27.0,PEIm,PostExposure,Implicit,15.0,3.0,3.0,13.0,13.0,3.0
28.0,Control,Control,Control,20.0,8.0,2.0,10.0,15.0,5.0
28.0,CCTEx,Concurrent,Explicit,15.0,5.0,2.0,12.0,2.0,0.0
28.0,CCTIm,Concurrent,Implicit,15.0,2.0,2.0,15.0,10.0,8.0
28.0,CCTM,Concurrent,Mix,12.0,2.0,2.0,12.0,15.0,12.0
28.0,PEEx,PostExposure,Explicit,2.0,1.0,1.0,5.0,7.0,2.0
28.0,PEIm,PostExposure,Implicit,13.0,2.0,2.0,13.0,10.0,5.0
28.0,PEM,PostExposure,Mix,5.0,1.0,1.0,18.0,2.0,2.0
3.0,CCTM,Concurrent,Mix,12.0,3.0,3.0,13.0,2.0,0.0
3.0,PEEx,PostExposure,Explicit,12.0,3.0,1.0,16.0,3.0,0.0
3.0,PEIm,PostExposure,Implicit,12.0,2.0,4.0,18.0,6.0,0.0
3.0,PEM,PostExposure,Mix,12.0,1.0,3.0,18.0,8.0,0.0
3.0,Control,Control,Control,12.0,2.0,3.0,18.0,5.0,0.0
3.0,CCTEx,Concurrent,Explicit,12.0,1.0,5.0,18.0,3.0,0.0
3.0,CCTIm,Concurrent,Implicit,12.0,1.0,5.0,18.0,3.0,0.0
4.0,PEEx,PostExposure,Explicit,15.0,5.0,1.0,8.0,15.0,15.0
4.0,PEIm,PostExposure,Implicit,14.0,7.0,2.0,16.0,14.0,14.0
4.0,PEM,PostExposure,Mix,13.0,3.0,1.0,16.0,13.0,6.0
4.0,Control,Control,Control,14.0,4.0,1.0,16.0,13.0,5.0
4.0,CCTEx,Concurrent,Explicit,12.0,3.0,1.0,17.0,13.0,5.0
4.0,CCTIm,Concurrent,Implicit,14.0,2.0,1.0,15.0,13.0,7.0
4.0,CCTM,Concurrent,Mix,12.0,2.0,1.0,17.0,11.0,4.0
5.0,PEIm,PostExposure,Implicit,18.0,2.0,1.0,16.0,9.0,0.0
5.0,PEM,PostExposure,Mix,8.0,4.0,6.0,0.0,19.0,14.0
5.0,Control,Control,Control,18.0,2.0,2.0,18.0,6.0,6.0
5.0,CCTEx,Concurrent,Explicit,6.0,0.0,0.0,20.0,2.0,3.0
5.0,CCTIm,Concurrent,Implicit,18.0,0.0,0.0,13.0,15.0,7.0
5.0,CCTM,Concurrent,Mix,6.0,0.0,0.0,18.0,4.0,4.0
5.0,PEEx,PostExposure,Explicit,18.0,0.0,0.0,15.0,16.0,9.0
6.0,PEM,PostExposure,Mix,15.0,4.0,5.0,14.0,15.0,15.0
6.0,Control,Control,Control,4.0,4.0,5.0,16.0,4.0,4.0
6.0,CCTEx,Concurrent,Explicit,4.0,4.0,3.0,16.0,4.0,3.0
6.0,CCTIm,Concurrent,Implicit,20.0,18.0,6.0,13.0,7.0,7.0
6.0,CCTM,Concurrent,Mix,15.0,14.0,4.0,16.0,5.0,4.0
6.0,PEEx,PostExposure,Explicit,16.0,16.0,4.0,18.0,3.0,4.0
6.0,PEIm,PostExposure,Implicit,4.0,4.0,4.0,16.0,3.0,3.0
7.0,Control,Control,Control,16.0,7.0,4.0,11.0,11.0,8.0
7.0,CCTEx,Concurrent,Explicit,16.0,9.0,6.0,8.0,11.0,11.0
7.0,CCTIm,Concurrent,Implicit,11.0,7.0,4.0,13.0,7.0,6.0
7.0,CCTM,Concurrent,Mix,11.0,8.0,4.0,12.0,8.0,7.0
7.0,PEEx,PostExposure,Explicit,11.0,6.0,5.0,11.0,9.0,11.0
7.0,PEIm,PostExposure,Implicit,11.0,8.0,6.0,13.0,8.0,9.0
7.0,PEM,PostExposure,Mix,12.0,8.0,6.0,11.0,11.0,8.0
8.0,CCTEx,Concurrent,Explicit,15.0,8.0,7.0,14.0,10.0,5.0
8.0,CCTIm,Concurrent,Implicit,15.0,7.0,11.0,12.0,9.0,8.0
8.0,CCTM,Concurrent,Mix,11.0,9.0,10.0,13.0,8.0,8.0
8.0,PEEx,PostExposure,Explicit,11.0,3.0,6.0,15.0,3.0,4.0
8.0,PEIm,PostExposure,Implicit,11.0,9.0,8.0,15.0,8.0,8.0
8.0,PEM,PostExposure,Mix,9.0,6.0,8.0,14.0,6.0,6.0
8.0,Control,Control,Control,9.0,7.0,7.0,14.0,9.0,7.0
9.0,CCTIm,Concurrent,Implicit,12.0,15.0,2.0,12.0,12.0,8.0
9.0,CCTM,Concurrent,Mix,12.0,8.0,2.0,5.0,12.0,4.0
9.0,PEEx,PostExposure,Explicit,14.0,10.0,2.0,12.0,12.0,3.0
9.0,PEIm,PostExposure,Implicit,12.0,10.0,2.0,8.0,14.0,5.0
9.0,PEM,PostExposure,Mix,14.0,10.0,2.0,6.0,13.0,5.0
9.0,Control,Control,Control,14.0,10.0,2.0,8.0,14.0,5.0
9.0,CCTEx,Concurrent,Explicit,14.0,10.0,2.0,11.0,13.0,7.0
