SEParticipantId,SE_Condition,SE_Placement,SE_LabelType,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
1.0,CCTEx,Concurrent,Explicit,100.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,80.0,80.0
1.0,CCTIm,Concurrent,Implicit,90.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,60.0,60.0
1.0,CCTM,Concurrent,Mix,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,70.0,70.0
1.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,90.0,90.0,80.0,80.0,80.0,70.0,70.0
1.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0
1.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0
1.0,Control,Control,Control,100.0,100.0,100.0,90.0,90.0,90.0,90.0,90.0,80.0,80.0
10.0,CCTM,Concurrent,Mix,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,50.0,50.0
10.0,PEEx,PostExposure,Explicit,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,60.0,60.0
10.0,PEIm,PostExposure,Implicit,80.0,80.0,80.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0
10.0,PEM,PostExposure,Mix,90.0,90.0,90.0,90.0,70.0,60.0,60.0,60.0,60.0,50.0
10.0,Control,Control,Control,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0
10.0,CCTEx,Concurrent,Explicit,80.0,80.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0
10.0,CCTIm,Concurrent,Implicit,100.0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,60.0,50.0
11.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,70.0
11.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0
11.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0
11.0,Control,Control,Control,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0
11.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,70.0
11.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12.0,PEIm,PostExposure,Implicit,70.0,60.0,60.0,60.0,50.0,50.0,50.0,40.0,40.0,40.0
12.0,PEM,PostExposure,Mix,80.0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,60.0,50.0
12.0,Control,Control,Control,80.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,60.0,60.0
12.0,CCTEx,Concurrent,Explicit,80.0,80.0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,50.0
12.0,CCTIm,Concurrent,Implicit,80.0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,50.0,50.0
12.0,CCTM,Concurrent,Mix,90.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,60.0,60.0
12.0,PEEx,PostExposure,Explicit,90.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,60.0,60.0
13.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,100.0,80.0,60.0,40.0,20.0,0.0
13.0,Control,Control,Control,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0,60.0
13.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0,70.0
13.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,100.0,100.0,80.0,70.0,60.0,50.0,40.0
13.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0,70.0
13.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,80.0,70.0
13.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,90.0,90.0,80.0,70.0,60.0
14.0,Control,Control,Control,100.0,100.0,90.0,70.0,40.0,40.0,30.0,30.0,10.0,10.0
14.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,90.0,90.0,90.0,80.0,80.0,60.0,60.0
14.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,100.0,90.0,90.0,90.0,80.0,80.0,70.0
14.0,CCTM,Concurrent,Mix,90.0,90.0,90.0,90.0,80.0,80.0,80.0,70.0,70.0,60.0
14.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,90.0,90.0,90.0,80.0,70.0,70.0
14.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,80.0,80.0
14.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
15.0,CCTEx,Concurrent,Explicit,90.0,90.0,80.0,80.0,80.0,50.0,40.0,30.0,20.0,10.0
15.0,CCTIm,Concurrent,Implicit,100.0,100.0,90.0,90.0,90.0,80.0,80.0,60.0,30.0,10.0
15.0,CCTM,Concurrent,Mix,100.0,90.0,80.0,80.0,80.0,50.0,40.0,30.0,10.0,10.0
15.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,90.0,90.0,90.0,90.0,60.0,40.0,40.0
15.0,PEIm,PostExposure,Implicit,100.0,90.0,90.0,80.0,40.0,40.0,30.0,20.0,20.0,0.0
15.0,PEM,PostExposure,Mix,100.0,90.0,80.0,80.0,50.0,50.0,50.0,30.0,10.0,10.0
15.0,Control,Control,Control,100.0,90.0,90.0,90.0,90.0,70.0,70.0,70.0,40.0,20.0
16.0,CCTIm,Concurrent,Implicit,100.0,100.0,90.0,90.0,90.0,50.0,40.0,40.0,10.0,10.0
16.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,90.0,90.0,90.0,70.0,70.0,50.0,50.0
16.0,PEEx,PostExposure,Explicit,100.0,100.0,90.0,90.0,60.0,40.0,40.0,20.0,10.0,0.0
16.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,90.0,70.0,50.0,50.0,40.0,20.0,10.0
16.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,90.0,90.0,70.0,70.0,60.0,50.0
16.0,Control,Control,Control,100.0,100.0,90.0,90.0,80.0,70.0,70.0,50.0,40.0,30.0
16.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,80.0,70.0
17.0,CCTM,Concurrent,Mix,80.0,60.0,60.0,60.0,60.0,30.0,20.0,10.0,10.0,10.0
17.0,PEEx,PostExposure,Explicit,90.0,90.0,90.0,70.0,60.0,40.0,40.0,40.0,20.0,10.0
17.0,PEIm,PostExposure,Implicit,100.0,90.0,90.0,90.0,90.0,40.0,30.0,20.0,20.0,0.0
17.0,PEM,PostExposure,Mix,100.0,90.0,90.0,90.0,40.0,30.0,30.0,20.0,10.0,0.0
17.0,Control,Control,Control,90.0,90.0,90.0,80.0,80.0,60.0,40.0,30.0,20.0,10.0
17.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,80.0,70.0,70.0,50.0,30.0,0.0
17.0,CCTIm,Concurrent,Implicit,90.0,90.0,90.0,90.0,70.0,60.0,40.0,40.0,20.0,0.0
18.0,PEEx,PostExposure,Explicit,90.0,90.0,90.0,90.0,90.0,90.0,90.0,70.0,50.0,50.0
18.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,70.0
18.0,PEM,PostExposure,Mix,90.0,90.0,90.0,90.0,80.0,70.0,70.0,60.0,60.0,60.0
18.0,Control,Control,Control,100.0,90.0,80.0,80.0,70.0,70.0,70.0,70.0,70.0,60.0
18.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0
18.0,CCTIm,Concurrent,Implicit,90.0,90.0,80.0,80.0,80.0,70.0,60.0,60.0,60.0,60.0
18.0,CCTM,Concurrent,Mix,70.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0,60.0,60.0
19.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,80.0
19.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,80.0
19.0,Control,Control,Control,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0
19.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,80.0,80.0
19.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0
19.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0
19.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0
2.0,CCTIm,Concurrent,Implicit,80.0,80.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
2.0,CCTM,Concurrent,Mix,80.0,80.0,70.0,50.0,50.0,40.0,40.0,0.0,0.0,0.0
2.0,PEEx,PostExposure,Explicit,90.0,90.0,90.0,90.0,60.0,60.0,60.0,20.0,20.0,10.0
2.0,PEIm,PostExposure,Implicit,80.0,80.0,80.0,70.0,70.0,40.0,40.0,10.0,10.0,10.0
2.0,PEM,PostExposure,Mix,90.0,90.0,70.0,70.0,70.0,40.0,30.0,10.0,10.0,10.0
2.0,Control,Control,Control,90.0,90.0,80.0,70.0,50.0,50.0,20.0,20.0,10.0,10.0
2.0,CCTEx,Concurrent,Explicit,100.0,100.0,80.0,80.0,50.0,40.0,40.0,30.0,20.0,10.0
20.0,PEM,PostExposure,Mix,70.0,60.0,60.0,50.0,50.0,40.0,40.0,30.0,20.0,10.0
20.0,Control,Control,Control,90.0,90.0,80.0,70.0,60.0,60.0,50.0,40.0,40.0,20.0
20.0,CCTEx,Concurrent,Explicit,70.0,70.0,60.0,60.0,50.0,50.0,40.0,40.0,30.0,20.0
20.0,CCTIm,Concurrent,Implicit,60.0,60.0,50.0,50.0,40.0,30.0,30.0,20.0,10.0,10.0
20.0,CCTM,Concurrent,Mix,90.0,90.0,80.0,80.0,70.0,60.0,60.0,50.0,40.0,30.0
20.0,PEEx,PostExposure,Explicit,90.0,90.0,80.0,80.0,70.0,60.0,50.0,50.0,40.0,40.0
20.0,PEIm,PostExposure,Implicit,70.0,70.0,60.0,60.0,50.0,40.0,40.0,40.0,30.0,20.0
21.0,Control,Control,Control,60.0,60.0,50.0,40.0,40.0,40.0,30.0,30.0,20.0,10.0
21.0,CCTEx,Concurrent,Explicit,80.0,80.0,80.0,70.0,60.0,60.0,50.0,40.0,40.0,30.0
21.0,CCTIm,Concurrent,Implicit,100.0,100.0,90.0,80.0,80.0,70.0,70.0,60.0,50.0,40.0
21.0,CCTM,Concurrent,Mix,90.0,90.0,80.0,80.0,60.0,60.0,50.0,40.0,30.0,30.0
21.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,90.0,90.0,80.0,70.0,70.0,60.0,60.0
21.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,90.0,80.0,70.0,60.0,50.0,50.0
21.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,90.0,90.0,70.0,60.0,50.0,50.0
22.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,60.0,60.0
22.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,60.0
22.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,100.0,80.0,80.0,70.0,50.0,40.0,40.0
22.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,80.0,80.0,60.0,60.0,40.0,40.0
22.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,80.0,80.0,60.0,60.0,60.0
22.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,80.0,80.0,60.0,60.0,40.0,40.0
22.0,Control,Control,Control,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,60.0,50.0
23.0,CCTIm,Concurrent,Implicit,100.0,100.0,90.0,90.0,90.0,80.0,80.0,70.0,60.0,40.0
23.0,CCTM,Concurrent,Mix,100.0,90.0,90.0,90.0,80.0,80.0,80.0,70.0,60.0,50.0
23.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,80.0,80.0
23.0,PEIm,PostExposure,Implicit,100.0,100.0,90.0,90.0,80.0,80.0,80.0,70.0,60.0,50.0
23.0,PEM,PostExposure,Mix,100.0,100.0,100.0,90.0,90.0,90.0,80.0,70.0,60.0,50.0
23.0,Control,Control,Control,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,80.0
23.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,80.0,70.0
24.0,CCTM,Concurrent,Mix,90.0,90.0,80.0,70.0,60.0,60.0,50.0,50.0,50.0,40.0
24.0,PEEx,PostExposure,Explicit,100.0,100.0,90.0,80.0,70.0,70.0,70.0,60.0,60.0,60.0
24.0,PEIm,PostExposure,Implicit,100.0,100.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,70.0
24.0,PEM,PostExposure,Mix,100.0,100.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0,70.0
24.0,Control,Control,Control,100.0,100.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0
24.0,CCTEx,Concurrent,Explicit,100.0,90.0,90.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0
24.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0
25.0,PEEx,PostExposure,Explicit,90.0,90.0,90.0,90.0,50.0,40.0,40.0,30.0,20.0,0.0
25.0,PEIm,PostExposure,Implicit,80.0,80.0,80.0,50.0,50.0,30.0,30.0,20.0,10.0,0.0
25.0,PEM,PostExposure,Mix,90.0,90.0,90.0,90.0,90.0,60.0,30.0,30.0,30.0,0.0
25.0,Control,Control,Control,100.0,100.0,100.0,90.0,90.0,90.0,80.0,50.0,50.0,40.0
25.0,CCTEx,Concurrent,Explicit,100.0,100.0,90.0,90.0,90.0,90.0,80.0,70.0,50.0,30.0
25.0,CCTIm,Concurrent,Implicit,100.0,90.0,90.0,90.0,70.0,50.0,40.0,20.0,20.0,10.0
25.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,90.0,90.0,80.0,80.0,70.0,60.0,40.0
26.0,PEIm,PostExposure,Implicit,100.0,80.0,70.0,60.0,50.0,40.0,30.0,30.0,20.0,10.0
26.0,PEM,PostExposure,Mix,100.0,100.0,90.0,80.0,70.0,60.0,60.0,50.0,40.0,30.0
26.0,Control,Control,Control,100.0,90.0,80.0,70.0,60.0,50.0,40.0,40.0,30.0,20.0
26.0,CCTEx,Concurrent,Explicit,100.0,90.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,30.0
26.0,CCTIm,Concurrent,Implicit,100.0,90.0,80.0,70.0,70.0,60.0,50.0,50.0,40.0,30.0
26.0,CCTM,Concurrent,Mix,100.0,90.0,80.0,70.0,70.0,60.0,50.0,40.0,30.0,20.0
26.0,PEEx,PostExposure,Explicit,100.0,100.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0
27.0,PEM,PostExposure,Mix,70.0,60.0,50.0,50.0,50.0,40.0,40.0,30.0,30.0,30.0
27.0,Control,Control,Control,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,70.0,70.0
27.0,CCTEx,Concurrent,Explicit,80.0,80.0,70.0,70.0,60.0,60.0,50.0,50.0,40.0,40.0
27.0,CCTIm,Concurrent,Implicit,80.0,70.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0,60.0
27.0,CCTM,Concurrent,Mix,80.0,80.0,80.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0
27.0,PEEx,PostExposure,Explicit,100.0,90.0,90.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0
27.0,PEIm,PostExposure,Implicit,80.0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,50.0,50.0
28.0,Control,Control,Control,100.0,100.0,100.0,90.0,90.0,80.0,70.0,60.0,50.0,50.0
28.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,90.0,90.0,80.0,70.0,60.0,50.0
28.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,100.0,90.0,90.0,80.0,70.0,60.0,50.0
28.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,90.0,90.0,90.0,80.0,70.0,60.0,50.0
28.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
28.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0
28.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0
3.0,CCTM,Concurrent,Mix,90.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
3.0,PEEx,PostExposure,Explicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,PEIm,PostExposure,Implicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,PEM,PostExposure,Mix,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,Control,Control,Control,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,CCTEx,Concurrent,Explicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,CCTIm,Concurrent,Implicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
4.0,PEEx,PostExposure,Explicit,90.0,90.0,80.0,70.0,50.0,50.0,40.0,20.0,10.0,10.0
4.0,PEIm,PostExposure,Implicit,90.0,90.0,80.0,80.0,60.0,50.0,40.0,40.0,30.0,30.0
4.0,PEM,PostExposure,Mix,100.0,100.0,80.0,80.0,70.0,70.0,60.0,60.0,60.0,50.0
4.0,Control,Control,Control,100.0,90.0,80.0,80.0,70.0,60.0,60.0,50.0,50.0,40.0
4.0,CCTEx,Concurrent,Explicit,100.0,100.0,90.0,80.0,70.0,60.0,60.0,60.0,50.0,50.0
4.0,CCTIm,Concurrent,Implicit,100.0,90.0,80.0,70.0,70.0,60.0,60.0,50.0,50.0,40.0
4.0,CCTM,Concurrent,Mix,100.0,100.0,90.0,80.0,80.0,70.0,70.0,70.0,60.0,50.0
5.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,80.0,70.0,60.0,20.0,10.0,0.0
5.0,PEM,PostExposure,Mix,100.0,100.0,100.0,60.0,50.0,40.0,30.0,20.0,10.0,0.0
5.0,Control,Control,Control,100.0,100.0,100.0,100.0,100.0,80.0,70.0,70.0,40.0,30.0
5.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,80.0,70.0
5.0,CCTIm,Concurrent,Implicit,100.0,100.0,90.0,80.0,80.0,70.0,60.0,50.0,40.0,20.0
5.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,100.0,100.0,100.0,80.0,70.0,60.0,50.0
5.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,80.0,70.0,40.0,20.0,10.0
6.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,90.0,80.0,70.0,30.0,10.0,0.0
6.0,Control,Control,Control,100.0,100.0,100.0,100.0,80.0,70.0,60.0,50.0,30.0,10.0
6.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0
6.0,CCTIm,Concurrent,Implicit,100.0,90.0,90.0,80.0,60.0,50.0,40.0,30.0,20.0,10.0
6.0,CCTM,Concurrent,Mix,90.0,80.0,70.0,60.0,60.0,50.0,40.0,30.0,20.0,20.0
6.0,PEEx,PostExposure,Explicit,100.0,90.0,90.0,80.0,80.0,70.0,60.0,60.0,60.0,30.0
6.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,90.0,80.0,70.0,60.0,60.0,30.0,20.0
7.0,Control,Control,Control,100.0,90.0,90.0,80.0,80.0,80.0,60.0,20.0,20.0,10.0
7.0,CCTEx,Concurrent,Explicit,80.0,70.0,70.0,60.0,40.0,30.0,30.0,20.0,10.0,10.0
7.0,CCTIm,Concurrent,Implicit,90.0,90.0,90.0,80.0,80.0,80.0,80.0,60.0,40.0,30.0
7.0,CCTM,Concurrent,Mix,90.0,80.0,80.0,80.0,70.0,70.0,60.0,60.0,40.0,30.0
7.0,PEEx,PostExposure,Explicit,90.0,90.0,80.0,70.0,60.0,60.0,60.0,40.0,30.0,30.0
7.0,PEIm,PostExposure,Implicit,90.0,90.0,90.0,80.0,80.0,80.0,70.0,50.0,40.0,30.0
7.0,PEM,PostExposure,Mix,90.0,80.0,70.0,70.0,70.0,70.0,60.0,40.0,30.0,20.0
8.0,CCTEx,Concurrent,Explicit,90.0,80.0,80.0,70.0,60.0,50.0,40.0,20.0,20.0,0.0
8.0,CCTIm,Concurrent,Implicit,90.0,90.0,80.0,80.0,50.0,30.0,30.0,20.0,10.0,10.0
8.0,CCTM,Concurrent,Mix,100.0,100.0,80.0,70.0,50.0,40.0,40.0,20.0,20.0,10.0
8.0,PEEx,PostExposure,Explicit,100.0,90.0,80.0,80.0,60.0,50.0,50.0,30.0,30.0,20.0
8.0,PEIm,PostExposure,Implicit,100.0,90.0,90.0,70.0,60.0,30.0,30.0,30.0,10.0,10.0
8.0,PEM,PostExposure,Mix,100.0,90.0,90.0,80.0,60.0,50.0,40.0,30.0,20.0,20.0
8.0,Control,Control,Control,100.0,90.0,90.0,80.0,70.0,60.0,60.0,40.0,40.0,20.0
9.0,CCTIm,Concurrent,Implicit,90.0,80.0,80.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
9.0,CCTM,Concurrent,Mix,70.0,70.0,70.0,60.0,60.0,20.0,20.0,20.0,20.0,20.0
9.0,PEEx,PostExposure,Explicit,80.0,80.0,80.0,80.0,80.0,80.0,80.0,20.0,10.0,10.0
9.0,PEIm,PostExposure,Implicit,80.0,80.0,80.0,80.0,30.0,20.0,20.0,20.0,10.0,10.0
9.0,PEM,PostExposure,Mix,80.0,80.0,80.0,80.0,30.0,30.0,20.0,20.0,10.0,10.0
9.0,Control,Control,Control,80.0,80.0,80.0,80.0,80.0,50.0,40.0,30.0,20.0,20.0
9.0,CCTEx,Concurrent,Explicit,100.0,80.0,80.0,80.0,80.0,30.0,20.0,20.0,20.0,10.0
