ParticipantId,Age,Gender,Advanced Search,PDF,Spyware,Wiki,Cache,Phishing,Q2,Q3,Q4,Q5
1,24,F,3,5,1,4,1,1,2,3,4,3
2,24,F,1,4,1,4,1,1,1,4,4,4
3,21,F,1,5,1,5,3,1,2,3,4,4
4,21,M,3,5,1,5,4,3,1,3,3,4
5,20,F,3,5,1,5,3,3,3,4,1,4
6,20,M,2,4,1,4,1,1,1,1,4,5
7,18,F,2,4,3,3,1,4,2,3,3,4
8,20,F,1,4,1,5,2,2,4,3,5,3
9,27,F,5,5,1,4,1,3,2,2,5,2
10,25,F,4,5,1,5,3,4,4,5,5,3
11,22,M,1,4,1,4,1,1,1,4,1,5
12,22,F,4,4,2,4,2,2,1,3,5,4
13,19,F,1,4,1,4,1,3,3,3,3,2
14,20,F,3,4,3,4,3,4,4,5,2,4
15,20,F,2,4,2,4,1,1,2,3,4,5
16,26,F,3,4,1,5,3,2,4,5,3,2
17,22,M,5,4,2,5,3,3,3,3,4,4
18,19,M,3,4,1,4,1,1,2,3,3,4
19,22,F,4,4,2,4,3,3,3,3,5,3
20,21,F,4,5,2,5,2,1,3,4,4,3
21,23,M,1,4,1,3,1,2,4,3,3,2
22,19,F,2,5,3,5,3,3,4,4,4,3
23,20,F,4,5,3,5,3,5,4,4,2,4
24,23,M,1,5,1,5,3,2,4,3,3,2
25,19,M,5,5,4,5,5,5,2,2,3,4
26,19,M,2,3,2,3,3,3,3,4,3,2
27,21,M,2,4,1,5,1,1,1,2,5,4
28,27,F,4,5,1,5,1,1,4,3,3,2